 NPOZ,NLIM,MEAN1,MEAN2,P,B,M1DM2,NLIM1,B1,N100MB,PN,PP,BPN,BPP,UNK1,UNK2
   36 ,  1  ,     40.0000   ,      13.00,      188100,  10.45,    3.08,   1,  10.45,  89.55,      0,   1506600,   0.00,  89.55,     10000,      8370
   36 ,  1  ,     50.0000   ,      13.00,      214020,  11.89,    3.85,   1,  11.89,  88.11,      0,   1481580,   0.00,  88.11,     10000,      8231
   36 ,  1  ,     60.0000   ,      13.00,      249120,  13.84,    4.62,   1,  13.84,  86.16,      0,   1448460,   0.00,  86.16,     10000,      8047
   36 ,  1  ,     70.0000   ,      13.00,      255960,  14.22,    5.38,   1,  14.22,  85.78,      0,   1442520,   0.00,  85.78,     10000,      8014
   36 ,  1  ,     80.0000   ,      13.00,      288000,  16.00,    6.15,   1,  16.00,  84.00,      0,   1416600,   0.00,  84.00,     10000,      7870
   36 ,  1  ,     90.0000   ,      13.00,      303840,  16.88,    6.92,   1,  16.88,  83.12,      0,   1403280,   0.00,  83.12,     10000,      7796
   36 ,  1  ,    100.0000   ,      13.00,      329940,  18.33,    7.69,   1,  18.33,  81.67,      0,   1377900,   0.00,  81.67,     10000,      7655
   36 ,  1  ,     10.0000   ,      15.00,       98640,   5.48,    0.67,   1,   5.48,  94.52,      0,   1605240,   0.00,  94.52,     10000,      8918
   36 ,  1  ,     20.0000   ,      15.00,      111960,   6.22,    1.33,   1,   6.22,  93.78,      0,   1592100,   0.00,  93.78,     10000,      8845
   36 ,  1  ,     30.0000   ,      15.00,      144360,   8.02,    2.00,   1,   8.02,  91.98,      0,   1557540,   0.00,  91.98,     10000,      8653
   36 ,  1  ,     40.0000   ,      15.00,      167400,   9.30,    2.67,   1,   9.30,  90.70,      0,   1539180,   0.00,  90.70,     10000,      8551
   36 ,  1  ,     50.0000   ,      15.00,      187380,  10.41,    3.33,   1,  10.41,  89.59,      0,   1517220,   0.00,  89.59,     10000,      8429
   36 ,  1  ,     60.0000   ,      15.00,      221760,  12.32,    4.00,   1,  12.32,  87.68,      0,   1487520,   0.00,  87.68,     10000,      8264
   36 ,  1  ,     70.0000   ,      15.00,      222840,  12.38,    4.67,   1,  12.38,  87.62,      0,   1486980,   0.00,  87.62,     10000,      8261
   36 ,  1  ,     80.0000   ,      15.00,      255780,  14.21,    5.33,   1,  14.21,  85.79,      0,   1458000,   0.00,  85.79,     10000,      8100
   36 ,  1  ,     90.0000   ,      15.00,      269460,  14.97,    6.00,   1,  14.97,  85.03,      0,   1446480,   0.00,  85.03,     10000,      8036
   36 ,  1  ,    100.0000   ,      15.00,      291960,  16.22,    6.67,   1,  16.22,  83.78,      0,   1424160,   0.00,  83.78,     10000,      7912
   36 ,  1  ,     10.0000   ,      17.00,       88920,   4.94,    0.59,   1,   4.94,  95.06,      0,   1621800,   0.00,  95.06,     10000,      9010
   36 ,  1  ,     20.0000   ,      17.00,      100260,   5.57,    1.18,   1,   5.57,  94.43,      0,   1618020,   0.00,  94.43,     10000,      8989
   36 ,  1  ,     30.0000   ,      17.00,      125460,   6.97,    1.76,   1,   6.97,  93.03,      0,   1585620,   0.00,  93.03,     10000,      8809
   36 ,  1  ,     40.0000   ,      17.00,      146880,   8.16,    2.35,   1,   8.16,  91.84,      0,   1568520,   0.00,  91.84,     10000,      8714
   36 ,  1  ,     50.0000   ,      17.00,      170640,   9.48,    2.94,   1,   9.48,  90.52,      0,   1542240,   0.00,  90.52,     10000,      8568
   36 ,  1  ,     60.0000   ,      17.00,      196740,  10.93,    3.53,   1,  10.93,  89.07,      0,   1514340,   0.00,  89.07,     10000,      8413
   36 ,  1  ,     70.0000   ,      17.00,      203940,  11.33,    4.12,   1,  11.33,  88.67,      0,   1517940,   0.00,  88.67,     10000,      8433
   36 ,  1  ,     80.0000   ,      17.00,      236160,  13.12,    4.71,   1,  13.12,  86.88,      0,   1486080,   0.00,  86.88,     10000,      8256
   36 ,  1  ,     90.0000   ,      17.00,      245880,  13.66,    5.29,   1,  13.66,  86.34,      0,   1471680,   0.00,  86.34,     10000,      8176
   36 ,  1  ,    100.0000   ,      17.00,      261360,  14.52,    5.88,   1,  14.52,  85.48,      0,   1458180,   0.00,  85.48,     10000,      8101
   36 ,  1  ,     10.0000   ,      19.00,       80100,   4.45,    0.53,   1,   4.45,  95.55,      0,   1640880,   0.00,  95.55,     10000,      9116
   36 ,  1  ,     20.0000   ,      19.00,       89460,   4.97,    1.05,   1,   4.97,  95.03,      0,   1633680,   0.00,  95.03,     10000,      9076
   36 ,  1  ,     30.0000   ,      19.00,      115020,   6.39,    1.58,   1,   6.39,  93.61,      0,   1603800,   0.00,  93.61,     10000,      8910
   36 ,  1  ,     40.0000   ,      19.00,      134460,   7.47,    2.11,   1,   7.47,  92.53,      0,   1588680,   0.00,  92.53,     10000,      8826
   36 ,  1  ,     50.0000   ,      19.00,      156780,   8.71,    2.63,   1,   8.71,  91.29,      0,   1567800,   0.00,  91.29,     10000,      8710
   36 ,  1  ,     60.0000   ,      19.00,      177840,   9.88,    3.16,   1,   9.88,  90.12,      0,   1547280,   0.00,  90.12,     10000,      8596
   36 ,  1  ,     70.0000   ,      19.00,      185400,  10.30,    3.68,   1,  10.30,  89.70,      0,   1537380,   0.00,  89.70,     10000,      8541
   36 ,  1  ,     80.0000   ,      19.00,      211500,  11.75,    4.21,   1,  11.75,  88.25,      0,   1517040,   0.00,  88.25,     10000,      8428
   36 ,  1  ,     90.0000   ,      19.00,      226980,  12.61,    4.74,   1,  12.61,  87.39,      0,   1500660,   0.00,  87.39,     10000,      8337
   36 ,  1  ,    100.0000   ,      19.00,      234720,  13.04,    5.26,   1,  13.04,  86.96,      0,   1496700,   0.00,  86.96,     10000,      8315
   36 ,  2  ,     10.0000   ,       1.00,      472195,  26.23,   10.00,   2,  26.23,  73.77,   1385,    918000,   0.11,  73.66,     10000,      5100
   36 ,  2  ,     20.0000   ,       1.00,      619965,  34.44,   20.00,   2,  34.44,  65.56,   4995,    815400,   0.40,  65.16,     10000,      4530
   36 ,  2  ,     30.0000   ,       1.00,      741045,  41.17,   30.00,   2,  41.17,  58.83,   7575,    732600,   0.60,  58.23,     10000,      4070
